데이터키,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,25-Dec,26-Jan,26-Feb,26-Mar,26-Apr,26-May,26-Jun,26-Jul
카드_직접이익_채널_라이선스_이익율,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100%,0.00%,0.00%,100.00%,100%,100.00%,100.00%,100%
카드_직접이익_직접이익YTD_US홀세일_값,38,120,248,343,353,342,351,417,474,533,529,523,-8,42,100,161,185,194,224
카드_직접이익_직접이익YTD_US홀세일_비중,38%,51%,65%,64%,62%,60%,58%,52%,48%,51%,50%,51%,적자,35%,40%,47%,52%,56%,63%
카드_직접이익_직접이익YTD_US홀세일_변동,,,,,,,,,,,-7.0%p,-6.1%p,-169.0%p,+0.6%p,-2.0%p,-1.0%p,-1.0%p,0.0%p,-1.4%p
카드_직접이익_직접이익YTD_US홀세일_이익율,43.00%,46.00%,47.00%,45.00%,14.00%,-30.00%,15.00%,40.00%,33.00%,36.40%,35.30%,34.50%,-143%,37.20%,44.40%,44.90%,42.20%,40.00%,36.90%
카드_직접이익_직접이익YTD_USEC_값,273,525,906,"1,241","1,746","2,270","2,547","2,765","2,885","2,997","3,500","3,471",-23,158,442,572,817,851,894
카드_직접이익_직접이익YTD_USEC_비중,72%,70%,76%,77%,90%,99%,103%,101%,95%,86%,86%,71%,적자,30%,49%,46%,47%,37%,35%
카드_직접이익_직접이익YTD_USEC_변동,,,,,,,,,,,-9.0%p,-14.0%p,-27.7%p,-18.4%p,-12.5%p,-12.8%p,-14.1%p,-17.2%p,-17.1%p
카드_직접이익_직접이익YTD_USEC_이익율,26.00%,26.00%,28.00%,26.00%,34.00%,34.00%,20.00%,18.00%,9.00%,22.47%,21.60%,17.80%,-2%,7.60%,14.20%,13.80%,14.30%,12.30%,11.00%
카드_직접이익_직접이익YTD_EUEC_값,21,10,11,25,18,35,64,73,75,87,86,95,10,5,-17,-8,-5,4,9
카드_직접이익_직접이익YTD_EUEC_비중,44%,13%,11%,14%,8%,13%,22%,24%,23%,24%,22%,23%,49%,54%,적자,적자,적자,10%,15.00%
카드_직접이익_직접이익YTD_EUEC_변동,,,,,,,,,,,-11.8%p,-10.9%p,-3.9%p,+0.4%p,-20.7%p,-31.3%p,-7.1%p,-5.0%p,-6.9%p
카드_직접이익_직접이익YTD_EUEC_이익율,23.00%,-17.00%,1.00%,15.00%,-8.00%,24.00%,33.00%,23.00%,5.00%,11.59%,11.50%,11.60%,20%,6.90%,적자,적자,적자,1.80%,4.20%
카드_직접이익_직접이익YTD_라이선스_값,89,135,218,280,331,365,462,514,606,668,745,865,0,0,51,233,238,282,340
카드_직접이익_직접이익YTD_라이선스_비중,156%,118%,128%,102%,100%,95%,91%,84%,86%,83%,85%,85%,0%,0%,24%,50%,46%,51%,52%
카드_직접이익_직접이익YTD_라이선스_변동,+0.0p%,+0.0p%,+0.0p%,+0.0p%,+0.0p%,+0.0p%,+0.0p%,+0.0p%,+0.0p%,+0.0p%,+0.0p%,+0.0p%,+0.0p%,+0.0p%,+0.0p%,+0.0p%,0%p,0%p,0%p
카드_직접이익_직접이익YTD_라이선스_이익율,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%
카드_영업비_값,632,524,693,566,547,633,630,602,534,643,538,573,575,500,391,703,459,700,551
카드_영업비_YOY,129%,110%,257%,106%,96%,137%,91%,98%,93%,97%,74%,57%,91%,95%,57%,124%,84%,111%,87%
카드_영업비_영업비율,47%,42%,38%,35%,32%,37%,39%,38%,31%,33%,18%,16%,48%,47%,32%,51%,33%,52%,40.20%
카드_영업비_인건비_값,381,321,365,362,214,374,412,339,342,361,315,351,321,311,320,538,318,329,342
카드_영업비_인건비_YOY,100%,103%,394%,105%,63%,125%,99%,91%,79%,86%,74%,95%,84%,97%,88%,149%,81%,88%,83%
카드_영업비_인건비_급여_값,319,270,287,290,305,296,339,301,287,298,264,297,262,258%,270,290,263,275,286
카드_영업비_인건비_급여_YOY,117%,124%,110%,112%,113%,138%,105%,108%,100%,92%,79%,96%,82%,96%,94%,100%,86%,93%,84%
카드_영업비_인건비_보험복지_값,61,51,79,71,89,78,73,38,56,63,52,54,59,52%,49,248,54,54,56
